caller,callee,timestamp,duration_seconds,type,cell_tower
9876543210,9988776655,2024-01-10 09:15:22,120,CALL,Mumbai-Andheri
9876543210,8877665544,2024-01-10 10:05:00,45,CALL,Mumbai-Andheri
8877665544,7766554433,2024-01-10 11:30:15,300,CALL,Delhi-CP
9123456789,9555000111,2024-01-10 23:45:10,600,CALL,Pune-Koregaon
9988776655,9876543210,2024-01-11 08:12:00,0,SMS,Mumbai-BKC
9876543210,8234567890,2024-01-11 14:20:30,15,CALL,Mumbai-Colaba
8877665544,7766554433,2024-01-12 09:10:00,150,CALL,Delhi-Dwarka
7766554433,8877665544,2024-01-12 09:12:00,0,SMS,Delhi-CP
9123456789,9555000222,2024-01-12 23:30:00,400,CALL,Hyderabad-Jubilee
9876543210,9988776655,2024-01-13 10:15:00,80,CALL,Mumbai-Andheri
9876543210,9988776655,2024-01-13 10:20:00,0,SMS,Mumbai-Andheri
8234567890,7345678901,2024-01-14 11:11:11,55,CALL,Mumbai-BKC
9123456789,9555000111,2024-01-15 01:15:00,200,CALL,Pune-Koregaon
8877665544,7766554433,2024-01-15 14:30:00,120,CALL,Delhi-Dwarka
9988776655,9876543210,2024-01-16 09:45:00,30,CALL,Mumbai-Colaba
9876543210,8877665544,2024-01-16 16:20:00,240,CALL,Mumbai-Andheri
7345678901,8234567890,2024-01-17 10:05:00,90,CALL,Mumbai-BKC
9123456789,9555000222,2024-01-18 23:55:00,350,CALL,Hyderabad-Jubilee
9876543210,9988776655,2024-01-19 11:30:00,45,CALL,Mumbai-Andheri
8877665544,7766554433,2024-01-20 08:45:00,180,CALL,Delhi-CP
7766554433,8877665544,2024-01-20 09:00:00,0,SMS,Delhi-Dwarka
9988776655,9876543210,2024-01-21 13:20:00,60,CALL,Mumbai-Colaba
9876543210,8234567890,2024-01-22 15:10:00,110,CALL,Mumbai-Andheri
9123456789,9555000111,2024-01-23 02:30:00,420,CALL,Pune-Koregaon
8234567890,7345678901,2024-01-24 12:45:00,75,CALL,Mumbai-BKC
9876543210,9988776655,2024-01-25 09:15:00,30,CALL,Mumbai-Andheri
8877665544,7766554433,2024-01-26 10:30:00,150,CALL,Delhi-CP
9123456789,9555000222,2024-01-27 23:10:00,280,CALL,Hyderabad-Jubilee
9988776655,9876543210,2024-01-28 14:00:00,40,CALL,Mumbai-Colaba
9876543210,8877665544,2024-01-29 16:45:00,190,CALL,Mumbai-Andheri
7345678901,8234567890,2024-01-30 11:20:00,85,CALL,Mumbai-BKC
9123456789,9555000111,2024-01-31 01:45:00,310,CALL,Pune-Koregaon
9876543210,9988776655,2024-02-01 10:00:00,50,CALL,Mumbai-Andheri
8877665544,7766554433,2024-02-02 09:30:00,130,CALL,Delhi-Dwarka
9988776655,9876543210,2024-02-03 15:15:00,35,CALL,Mumbai-Colaba
9123456789,9555000222,2024-02-04 22:50:00,240,CALL,Hyderabad-Jubilee
9876543210,8234567890,2024-02-05 13:40:00,95,CALL,Mumbai-Andheri
8234567890,7345678901,2024-02-06 14:25:00,65,CALL,Mumbai-BKC
8877665544,7766554433,2024-02-07 11:10:00,160,CALL,Delhi-CP
9123456789,9555000111,2024-02-08 00:30:00,380,CALL,Pune-Koregaon
9876543210,9988776655,2024-02-09 09:45:00,45,CALL,Mumbai-Andheri
9988776655,9876543210,2024-02-10 16:30:00,55,CALL,Mumbai-Colaba
9123456789,9555000222,2024-02-11 23:40:00,290,CALL,Hyderabad-Jubilee
9876543210,8877665544,2024-02-12 10:20:00,210,CALL,Mumbai-Andheri
7345678901,8234567890,2024-02-13 12:15:00,70,CALL,Mumbai-BKC
8877665544,7766554433,2024-02-14 09:05:00,140,CALL,Delhi-Dwarka
9123456789,9555000111,2024-02-15 01:00:00,330,CALL,Pune-Koregaon
